KPI,Value
Employee Headcount,80.0
Active Employees,72.0
Opening Headcount,68.0
New Joiners,12.0
Exits,8.0
Average Headcount,70.0
Attrition Percentage,11.43
Absenteeism Percentage,3.97
Hour Based Absenteeism Percentage,6.37
Approved Leave Days,453.0
Available Leave Days,960.0
Leave Utilization Percentage,47.19
Total Overtime Hours,3727.64
Average OT per Active Employee,51.77
Total Workload Units,65248.0
Completed Units,54999.0
Overall Productivity Percentage,84.29
Overall Capacity Utilization Percentage,87.28
Revenue Contribution,2277417.31
Revenue Contribution per Employee,28467.72
Starting Monthly Productivity,91.2
Latest Monthly Productivity,78.1
Productivity Change Percentage Points,-13.1
Maximum Monthly Hiring Requirement,62.0
Total Forecast Workload Shortfall,10024.45
