Department,Month,Headcount,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Workload_Per_Employee,Completed_Units_Per_Employee
Customer Support,2026-01-01,16,2520,2266,2171.1,2560,27057.91,89.92063492063492,84.80859375,157.5,141.625
Customer Support,2026-02-01,16,2543,2309,2202.9,2560,27751.92,90.79826976012583,86.05078125000001,158.9375,144.3125
Customer Support,2026-03-01,16,2613,2387,2315.2,2560,28671.34,91.35093761959435,90.4375,163.3125,149.1875
Customer Support,2026-04-01,17,2710,2486,2387.1,2720,29996.72,91.73431734317343,87.7610294117647,159.41176470588235,146.23529411764707
Customer Support,2026-05-01,17,2875,2489,2415.6,2720,30222.57,86.57391304347826,88.80882352941177,169.11764705882354,146.41176470588235
Customer Support,2026-06-01,17,2835,2525,2423.6,2720,30511.89,89.0652557319224,89.10294117647058,166.76470588235293,148.52941176470588
Customer Support,2026-07-01,17,2961,2562,2501.1,2720,30914.9,86.52482269503547,91.95220588235293,174.1764705882353,150.7058823529412
Customer Support,2026-08-01,16,2856,2493,2389.0,2560,30299.8,87.28991596638656,93.3203125,178.5,155.8125
Finance,2026-01-01,3,274,248,392.29999999999995,480,7631.85,90.51094890510949,81.72916666666666,91.33333333333333,82.66666666666667
Finance,2026-02-01,3,286,241,381.20000000000005,480,7338.030000000001,84.26573426573427,79.41666666666669,95.33333333333333,80.33333333333333
Finance,2026-03-01,3,268,255,401.6,480,7608.59,95.1492537313433,83.66666666666667,89.33333333333333,85.0
Finance,2026-04-01,3,281,250,395.70000000000005,480,7764.16,88.96797153024912,82.43750000000001,93.66666666666667,83.33333333333333
Finance,2026-05-01,3,285,261,405.8,480,7947.82,91.57894736842105,84.54166666666667,95.0,87.0
Finance,2026-06-01,3,269,249,397.8,480,7566.91,92.56505576208178,82.875,89.66666666666667,83.0
Finance,2026-07-01,3,271,253,410.9,480,7664.120000000001,93.35793357933579,85.60416666666666,90.33333333333333,84.33333333333333
Finance,2026-08-01,3,289,264,428.2,480,8224.369999999999,91.34948096885813,89.20833333333333,96.33333333333333,88.0
HR,2026-01-01,6,465,434,873.0,960,11968.630000000001,93.33333333333333,90.9375,77.5,72.33333333333333
HR,2026-02-01,6,482,434,880.3,960,12368.619999999999,90.04149377593362,91.69791666666666,80.33333333333333,72.33333333333333
HR,2026-03-01,6,464,434,870.2,960,12293.23,93.53448275862068,90.64583333333334,77.33333333333333,72.33333333333333
HR,2026-04-01,6,475,419,842.9,960,11653.59,88.21052631578948,87.80208333333334,79.16666666666667,69.83333333333333
HR,2026-05-01,6,475,445,888.7,960,12878.06,93.6842105263158,92.57291666666667,79.16666666666667,74.16666666666667
HR,2026-06-01,6,486,428,866.2,960,11949.560000000001,88.06584362139918,90.22916666666667,81.0,71.33333333333333
HR,2026-07-01,6,520,460,934.6,960,12972.74,88.46153846153845,97.35416666666666,86.66666666666667,76.66666666666667
HR,2026-08-01,6,506,448,903.5,960,12431.199999999999,88.53754940711462,94.11458333333333,84.33333333333333,74.66666666666667
Marketing,2026-01-01,3,243,214,382.9,480,11596.49,88.06584362139918,79.77083333333333,81.0,71.33333333333333
Marketing,2026-02-01,3,249,226,413.4,480,12628.12,90.76305220883533,86.125,83.0,75.33333333333333
Marketing,2026-03-01,3,261,243,458.1,480,14029.18,93.10344827586206,95.43750000000001,87.0,81.0
Marketing,2026-04-01,3,273,242,427.2,480,13878.14,88.64468864468864,89.0,91.0,80.66666666666667
Marketing,2026-05-01,3,266,251,459.5,480,13651.06,94.3609022556391,95.72916666666667,88.66666666666667,83.66666666666667
Marketing,2026-06-01,2,186,168,310.70000000000005,320,9132.18,90.32258064516128,97.09375000000001,93.0,84.0
Marketing,2026-07-01,2,192,161,302.4,320,8988.68,83.85416666666666,94.5,96.0,80.5
Marketing,2026-08-01,2,191,163,298.2,320,9174.900000000001,85.34031413612566,93.1875,95.5,81.5
Operations,2026-01-01,13,1602,1456,1798.8,2080,26027.45,90.88639200998752,86.48076923076923,123.23076923076923,112.0
Operations,2026-02-01,13,1675,1439,1807.6,2080,26487.36,85.91044776119404,86.90384615384616,128.84615384615384,110.6923076923077
Operations,2026-03-01,15,2017,1623,2016.2,2400,29425.41,80.466038671294,84.00833333333334,134.46666666666667,108.2
Operations,2026-04-01,16,2155,1700,2128.3,2560,30991.08,78.88631090487239,83.13671875,134.6875,106.25
Operations,2026-05-01,15,2072,1537,1930.5,2400,28689.82,74.17953667953668,80.4375,138.13333333333333,102.46666666666667
Operations,2026-06-01,15,2232,1529,1891.4,2400,27808.59,68.50358422939068,78.80833333333334,148.8,101.93333333333334
Operations,2026-07-01,16,2425,1632,2027.7,2560,29488.32,67.29896907216495,79.20703125,151.5625,102.0
Operations,2026-08-01,16,2430,1595,1974.4,2560,28951.05,65.63786008230453,77.125,151.875,99.6875
Quality,2026-01-01,8,841,788,1136.5,1280,18808.4,93.69797859690844,88.7890625,105.125,98.5
Quality,2026-02-01,8,866,791,1130.6000000000001,1280,19362.5,91.33949191685913,88.32812500000001,108.25,98.875
Quality,2026-03-01,8,865,795,1157.8,1280,18883.14,91.90751445086705,90.453125,108.125,99.375
Quality,2026-04-01,8,897,810,1154.9,1280,19728.89,90.3010033444816,90.2265625,112.125,101.25
Quality,2026-05-01,8,929,853,1206.7,1280,20846.08,91.81916038751345,94.2734375,116.125,106.625
Quality,2026-06-01,8,927,826,1176.6,1280,19508.73,89.10463861920172,91.921875,115.875,103.25
Quality,2026-07-01,8,937,827,1177.8,1280,20225.95,88.26040554962647,92.015625,117.125,103.375
Quality,2026-08-01,7,826,740,1054.2,1120,17886.3,89.58837772397095,94.125,118.0,105.71428571428571
Sales,2026-01-01,12,496,455,1625.4,1920,100953.75,91.73387096774194,84.65625,41.333333333333336,37.916666666666664
Sales,2026-02-01,12,523,482,1695.4,1920,106228.75,92.16061185468452,88.30208333333334,43.583333333333336,40.166666666666664
Sales,2026-03-01,13,580,512,1843.8,2080,115184.28,88.27586206896552,88.64423076923077,44.61538461538461,39.38461538461539
Sales,2026-04-01,13,593,502,1760.0,2080,112663.29000000001,84.65430016863407,84.61538461538461,45.61538461538461,38.61538461538461
Sales,2026-05-01,14,656,516,1859.0,2240,115186.22,78.65853658536585,82.99107142857143,46.857142857142854,36.857142857142854
Sales,2026-06-01,15,723,549,1937.6,2400,122823.88,75.93360995850622,80.73333333333333,48.2,36.6
Sales,2026-07-01,15,733,530,1885.2,2400,118381.17,72.3055934515689,78.55,48.86666666666667,35.333333333333336
Sales,2026-08-01,12,604,428,1518.7,1920,97238.74,70.86092715231787,79.09895833333334,50.333333333333336,35.666666666666664
Technology,2026-01-01,9,646,602,1260.1,1440,57228.94,93.18885448916409,87.50694444444443,71.77777777777777,66.88888888888889
Technology,2026-02-01,9,689,614,1330.9,1440,58570.99,89.11465892597968,92.42361111111111,76.55555555555556,68.22222222222223
Technology,2026-03-01,9,704,608,1333.7,1440,58239.99,86.36363636363636,92.61805555555556,78.22222222222223,67.55555555555556
Technology,2026-04-01,10,830,673,1426.3,1600,65538.62,81.0843373493976,89.14375,83.0,67.3
Technology,2026-05-01,10,882,686,1478.5,1600,65913.97,77.77777777777779,92.40625,88.2,68.6
Technology,2026-06-01,10,927,724,1544.1,1600,69888.79,78.10140237324703,96.50625,92.7,72.4
Technology,2026-07-01,10,977,711,1505.8,1600,67912.0,72.77379733879222,94.1125,97.7,71.1
Technology,2026-08-01,11,1119,758,1628.6,1760,73577.58,67.7390527256479,92.5340909090909,101.72727272727273,68.9090909090909
