Department,Month_Label,Headcount,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Headcount_Change,Productivity_Change_Percentage_Points,Department_Risk_Flag
Customer Support,2026-01,16,2520,2266,2171.1,2560,27057.91,89.92,84.81,,,No Immediate Risk
Customer Support,2026-02,16,2543,2309,2202.9,2560,27751.92,90.8,86.05,0.0,0.88,No Immediate Risk
Customer Support,2026-03,16,2613,2387,2315.2,2560,28671.34,91.35,90.44,0.0,0.55,No Immediate Risk
Customer Support,2026-04,17,2710,2486,2387.1,2720,29996.72,91.73,87.76,1.0,0.38,No Immediate Risk
Customer Support,2026-05,17,2875,2489,2415.6,2720,30222.57,86.57,88.81,0.0,-5.16,No Immediate Risk
Customer Support,2026-06,17,2835,2525,2423.6,2720,30511.89,89.07,89.1,0.0,2.5,No Immediate Risk
Customer Support,2026-07,17,2961,2562,2501.1,2720,30914.9,86.52,91.95,0.0,-2.55,No Immediate Risk
Customer Support,2026-08,16,2856,2493,2389.0,2560,30299.8,87.29,93.32,-1.0,0.77,No Immediate Risk
Finance,2026-01,3,274,248,392.29999999999995,480,7631.85,90.51,81.73,,,No Immediate Risk
Finance,2026-02,3,286,241,381.20000000000005,480,7338.03,84.27,79.42,0.0,-6.24,No Immediate Risk
Finance,2026-03,3,268,255,401.6,480,7608.59,95.15,83.67,0.0,10.88,No Immediate Risk
Finance,2026-04,3,281,250,395.70000000000005,480,7764.16,88.97,82.44,0.0,-6.18,No Immediate Risk
Finance,2026-05,3,285,261,405.8,480,7947.82,91.58,84.54,0.0,2.61,No Immediate Risk
Finance,2026-06,3,269,249,397.8,480,7566.91,92.57,82.88,0.0,0.99,No Immediate Risk
Finance,2026-07,3,271,253,410.9,480,7664.12,93.36,85.6,0.0,0.79,No Immediate Risk
Finance,2026-08,3,289,264,428.2,480,8224.37,91.35,89.21,0.0,-2.01,No Immediate Risk
HR,2026-01,6,465,434,873.0,960,11968.63,93.33,90.94,,,No Immediate Risk
HR,2026-02,6,482,434,880.3,960,12368.62,90.04,91.7,0.0,-3.29,No Immediate Risk
HR,2026-03,6,464,434,870.2,960,12293.23,93.53,90.65,0.0,3.49,No Immediate Risk
HR,2026-04,6,475,419,842.9,960,11653.59,88.21,87.8,0.0,-5.32,No Immediate Risk
HR,2026-05,6,475,445,888.7,960,12878.06,93.68,92.57,0.0,5.47,No Immediate Risk
HR,2026-06,6,486,428,866.2,960,11949.56,88.07,90.23,0.0,-5.61,No Immediate Risk
HR,2026-07,6,520,460,934.6,960,12972.74,88.46,97.35,0.0,0.39,No Immediate Risk
HR,2026-08,6,506,448,903.5,960,12431.2,88.54,94.11,0.0,0.08,No Immediate Risk
Marketing,2026-01,3,243,214,382.9,480,11596.49,88.07,79.77,,,No Immediate Risk
