Designation,Employee_Months,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Average_Quality_Score,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage
Finance Analyst,8,727,682,1097.1,1280,91.63,20974.1,93.81,85.71
Senior Quality Analyst,8,891,815,1174.8,1280,92.62,19934.4,91.47,91.78
HR Analyst,24,1915,1738,3530.7000000000003,3840,92.1,48829.82,90.76,91.95
Quality Analyst,39,4412,3996,5684.9,6240,91.44,96506.96,90.57,91.1
HR Executive,24,1958,1764,3528.7,3840,91.96,49685.81,90.09,91.89
Senior Support Executive,56,9293,8331,8017.4,8960,92.42,100288.88,89.65,89.48
Digital Analyst,21,1861,1668,3052.4,3360,92.78,93078.75,89.63,90.85
Support Executive,52,8626,7582,7282.0,8320,90.87,91407.25,87.9,87.52
Team Lead,129,13170,11265,17772.2,20640,90.49,561625.04,85.54,86.11
Senior Sales Executive,23,1052,880,3086.6,3680,89.0,196097.2,83.65,83.88
Data Analyst,16,1379,1107,2389.6,2560,92.47,106369.94,80.28,93.34
Senior Engineer,25,2190,1751,3742.2,4000,90.88,169617.94,79.95,93.56
Software Engineer,37,3205,2518,5376.2,5920,91.87,240883.0,78.56,90.81
Sales Executive,38,1781,1388,4956.6,6080,89.8,309006.82,77.93,81.52
Senior Process Associate,85,11937,8955,11138.0,13600,91.21,163155.98,75.02,81.9
Process Associate,6,851,559,704.6,960,92.34,9955.42,65.69,73.4
