Employee_ID,Month_Label,Department,Team,Manager,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Average_Quality_Score,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Monthly_Productivity_Change
E0001,2026-01,Customer Support,SUP-B,Customer Manager 1,158,128,122.2,160,82.79,1518.67,81.01,76.38,
E0001,2026-02,Customer Support,SUP-B,Customer Manager 1,174,131,122.8,160,92.8,1655.62,75.29,76.75,-5.72
E0001,2026-03,Customer Support,SUP-B,Customer Manager 1,171,162,151.9,160,97.22,1908.27,94.74,94.94,19.45
E0001,2026-04,Customer Support,SUP-B,Customer Manager 1,150,149,150.9,160,93.61,1883.16,99.33,94.31,4.59
E0001,2026-05,Customer Support,SUP-B,Customer Manager 1,182,160,164.0,160,93.85,1900.5,87.91,102.5,-11.42
E0001,2026-06,Customer Support,SUP-B,Customer Manager 1,162,151,140.8,160,85.87,1904.15,93.21,88.0,5.3
E0001,2026-07,Customer Support,SUP-B,Customer Manager 1,169,152,141.3,160,91.21,1848.7,89.94,88.31,-3.27
E0001,2026-08,Customer Support,SUP-B,Customer Manager 1,185,173,166.2,160,95.46,2104.07,93.51,103.87,3.57
E0002,2026-04,Customer Support,SUP-B,Customer Manager 3,151,111,102.0,160,92.9,1286.06,73.51,63.75,
E0002,2026-05,Customer Support,SUP-B,Customer Manager 3,175,103,101.4,160,92.37,1206.47,58.86,63.38,-14.65
E0002,2026-06,Customer Support,SUP-B,Customer Manager 3,182,121,123.2,160,92.4,1480.29,66.48,77.0,7.62
E0002,2026-07,Customer Support,SUP-B,Customer Manager 3,184,130,128.4,160,86.3,1506.6,70.65,80.25,4.17
E0002,2026-08,Customer Support,SUP-B,Customer Manager 3,188,140,138.9,160,88.79,1787.9,74.47,86.81,3.82
E0003,2026-01,Marketing,MKT-A,Marketing Manager 1,77,69,121.8,160,98.2,3711.22,89.61,76.12,
E0003,2026-02,Marketing,MKT-A,Marketing Manager 1,78,73,142.1,160,90.13,4212.85,93.59,88.81,3.98
E0003,2026-03,Marketing,MKT-A,Marketing Manager 1,92,83,157.8,160,89.36,4670.45,90.22,98.62,-3.37
E0003,2026-04,Marketing,MKT-A,Marketing Manager 1,90,79,136.9,160,92.03,4517.93,87.78,85.56,-2.44
E0003,2026-05,Marketing,MKT-A,Marketing Manager 1,83,74,143.3,160,90.56,3978.0,89.16,89.56,1.38
E0003,2026-06,Marketing,MKT-A,Marketing Manager 1,91,83,154.4,160,90.1,4373.43,91.21,96.5,2.05
E0003,2026-07,Marketing,MKT-A,Marketing Manager 1,95,74,137.1,160,90.35,4315.53,77.89,85.69,-13.32
E0003,2026-08,Marketing,MKT-A,Marketing Manager 1,94,86,163.7,160,92.4,4855.89,91.49,102.31,13.6
E0004,2026-01,Technology,TEC-B,Technology Manager 2,76,68,137.7,160,93.36,6552.59,89.47,86.06,
E0004,2026-02,Technology,TEC-B,Technology Manager 2,80,64,144.2,160,91.43,6241.71,80.0,90.12,-9.47
E0004,2026-03,Technology,TEC-B,Technology Manager 2,77,66,145.3,160,94.31,6498.03,85.71,90.81,5.71
E0004,2026-04,Technology,TEC-B,Technology Manager 2,90,67,145.6,160,93.61,6367.4,74.44,91.0,-11.27
E0004,2026-05,Technology,TEC-B,Technology Manager 2,81,73,166.3,160,87.47,7288.94,90.12,103.94,15.68
E0004,2026-06,Technology,TEC-B,Technology Manager 2,85,72,150.7,160,95.75,6802.75,84.71,94.19,-5.41
E0004,2026-07,Technology,TEC-B,Technology Manager 2,101,76,162.2,160,90.85,7204.18,75.25,101.38,-9.46
E0004,2026-08,Technology,TEC-B,Technology Manager 2,93,66,144.6,160,91.09,6690.8,70.97,90.38,-4.28
E0005,2026-01,HR,HR-A,HR Manager 3,79,71,146.1,160,88.82,1904.64,89.87,91.31,
E0005,2026-02,HR,HR-A,HR Manager 3,73,67,141.1,160,92.34,1873.16,91.78,88.19,1.91
E0005,2026-03,HR,HR-A,HR Manager 3,75,75,159.0,160,94.77,2076.42,100.0,99.38,8.22
E0005,2026-04,HR,HR-A,HR Manager 3,74,72,152.5,160,89.84,1984.99,97.3,95.31,-2.7
E0005,2026-05,HR,HR-A,HR Manager 3,75,76,161.3,160,90.43,2199.46,101.33,100.81,4.03
E0005,2026-06,HR,HR-A,HR Manager 3,79,67,139.8,160,92.01,1883.02,84.81,87.38,-16.52
E0005,2026-07,HR,HR-A,HR Manager 3,79,69,143.9,160,95.65,1893.95,87.34,89.94,2.53
E0005,2026-08,HR,HR-A,HR Manager 3,88,80,161.0,160,92.31,2227.68,90.91,100.63,3.57
E0006,2026-01,HR,HR-B,HR Manager 3,82,74,150.5,160,88.08,1987.91,90.24,94.06,
E0006,2026-02,HR,HR-B,HR Manager 3,85,77,162.3,160,93.11,2237.18,90.59,101.44,0.35
E0006,2026-03,HR,HR-B,HR Manager 3,79,66,132.4,160,91.82,1863.2,83.54,82.75,-7.05
E0006,2026-04,HR,HR-B,HR Manager 3,86,66,130.4,160,86.43,1776.92,76.74,81.5,-6.8
E0006,2026-05,HR,HR-B,HR Manager 3,80,71,141.4,160,89.58,2078.26,88.75,88.38,12.01
E0006,2026-06,HR,HR-B,HR Manager 3,79,70,143.8,160,96.01,1883.69,88.61,89.88,-0.14
E0006,2026-07,HR,HR-B,HR Manager 3,82,80,161.9,160,90.43,2300.55,97.56,101.19,8.95
E0006,2026-08,HR,HR-B,HR Manager 3,80,74,153.4,160,95.23,2081.72,92.5,95.88,-5.06
E0007,2026-01,Finance,FIN-B,Finance Manager 3,96,93,152.2,160,91.74,2791.3,96.88,95.12,
E0007,2026-02,Finance,FIN-B,Finance Manager 3,98,98,146.4,160,87.37,2972.98,100.0,91.5,3.12
E0007,2026-03,Finance,FIN-B,Finance Manager 3,94,90,142.8,160,87.4,2622.53,95.74,89.25,-4.26
E0007,2026-04,Finance,FIN-B,Finance Manager 3,96,90,150.3,160,85.95,2646.05,93.75,93.94,-1.99
E0007,2026-05,Finance,FIN-B,Finance Manager 3,96,88,131.0,160,90.37,2717.27,91.67,81.88,-2.08
E0007,2026-06,Finance,FIN-B,Finance Manager 3,94,84,140.6,160,96.22,2452.45,89.36,87.87,-2.31
E0007,2026-07,Finance,FIN-B,Finance Manager 3,99,87,142.2,160,94.86,2741.69,87.88,88.88,-1.48
E0007,2026-08,Finance,FIN-B,Finance Manager 3,102,84,127.7,160,86.45,2623.5,82.35,79.81,-5.53
E0008,2026-01,Operations,OPS-B,Operations Manager 2,117,109,138.6,160,93.79,2042.53,93.16,86.62,
E0008,2026-02,Operations,OPS-B,Operations Manager 2,135,113,148.0,160,89.32,2175.88,83.7,92.5,-9.46
E0008,2026-03,Operations,OPS-B,Operations Manager 2,127,104,137.3,160,96.73,1809.82,81.89,85.81,-1.81
E0008,2026-04,Operations,OPS-B,Operations Manager 2,131,115,145.9,160,92.28,2123.22,87.79,91.19,5.9
E0009,2026-01,Technology,TEC-B,Technology Manager 2,71,64,133.3,160,95.26,6006.08,90.14,83.31,
E0009,2026-02,Technology,TEC-B,Technology Manager 2,75,63,134.1,160,85.82,6128.87,84.0,83.81,-6.14
E0009,2026-03,Technology,TEC-B,Technology Manager 2,80,63,143.0,160,91.45,6275.25,78.75,89.38,-5.25
E0009,2026-04,Technology,TEC-B,Technology Manager 2,81,72,152.5,160,90.19,7300.88,88.89,95.31,10.14
E0009,2026-05,Technology,TEC-B,Technology Manager 2,94,64,141.2,160,93.66,6288.95,68.09,88.25,-20.8
E0009,2026-06,Technology,TEC-B,Technology Manager 2,86,75,157.1,160,95.27,7565.97,87.21,98.19,19.12
E0009,2026-07,Technology,TEC-B,Technology Manager 2,98,77,167.2,160,88.62,6966.57,78.57,104.5,-8.64
E0009,2026-08,Technology,TEC-B,Technology Manager 2,109,75,165.9,160,89.63,7095.98,68.81,103.69,-9.76
E0010,2026-07,Operations,OPS-B,Operations Manager 3,159,82,97.3,160,93.62,1456.85,51.57,60.81,
E0010,2026-08,Operations,OPS-B,Operations Manager 3,139,67,86.6,160,87.58,1246.38,48.2,54.12,-3.37
E0011,2026-01,Sales,SAL-A,Sales Manager 2,39,37,131.5,160,91.31,8454.14,94.87,82.19,
E0011,2026-02,Sales,SAL-A,Sales Manager 2,46,45,154.3,160,87.86,9828.57,97.83,96.44,2.96
E0011,2026-03,Sales,SAL-A,Sales Manager 2,43,39,146.1,160,83.47,8518.46,90.7,91.31,-7.13
E0011,2026-04,Sales,SAL-A,Sales Manager 2,46,36,120.6,160,92.0,8333.48,78.26,75.37,-12.44
E0011,2026-05,Sales,SAL-A,Sales Manager 2,48,36,122.7,160,91.86,7597.01,75.0,76.69,-3.26
E0011,2026-06,Sales,SAL-A,Sales Manager 2,49,39,130.1,160,85.73,8965.08,79.59,81.31,4.59
E0011,2026-07,Sales,SAL-A,Sales Manager 2,47,34,117.0,160,89.56,7775.23,72.34,73.12,-7.25
E0011,2026-08,Sales,SAL-A,Sales Manager 2,46,39,139.3,160,86.81,9078.05,84.78,87.06,12.44
E0012,2026-01,Marketing,MKT-A,Marketing Manager 1,78,69,128.6,160,92.66,3903.5,88.46,80.38,
