Department,Month_Label,Open_Positions,Hires_Completed,Open_Gap,Average_Time_to_Hire_Days,Average_Offer_Acceptance_Rate,Hiring_Completion_Percentage,Hiring_Gap_Percentage
Customer Support,2026-01,1,1,0,24.0,0.93,100.0,0.0
Finance,2026-01,1,0,1,33.0,0.91,0.0,100.0
HR,2026-01,2,1,1,40.0,0.87,50.0,50.0
Marketing,2026-01,3,2,1,25.0,0.76,66.67,33.33
Operations,2026-01,4,3,1,41.0,0.78,75.0,25.0
Quality,2026-01,2,0,2,23.0,0.88,0.0,100.0
Sales,2026-01,4,4,0,30.0,0.85,100.0,0.0
Technology,2026-01,3,3,0,20.0,0.9,100.0,0.0
Customer Support,2026-02,3,1,2,32.0,0.79,33.33,66.67
Finance,2026-02,2,2,0,28.0,0.84,100.0,0.0
HR,2026-02,2,2,0,35.0,0.89,100.0,0.0
Marketing,2026-02,1,1,0,38.0,0.73,100.0,0.0
Operations,2026-02,3,3,0,37.0,0.85,100.0,0.0
Quality,2026-02,3,1,2,22.0,0.77,33.33,66.67
Sales,2026-02,5,3,2,41.0,0.92,60.0,40.0
Technology,2026-02,2,2,0,42.0,0.81,100.0,0.0
Customer Support,2026-03,1,0,1,36.0,0.74,0.0,100.0
Finance,2026-03,1,0,1,38.0,0.73,0.0,100.0
HR,2026-03,2,2,0,26.0,0.72,100.0,0.0
Marketing,2026-03,1,0,1,22.0,0.74,0.0,100.0
Operations,2026-03,4,3,1,41.0,0.72,75.0,25.0
Quality,2026-03,1,0,1,37.0,0.76,0.0,100.0
Sales,2026-03,4,4,0,23.0,0.81,100.0,0.0
Technology,2026-03,3,3,0,26.0,0.91,100.0,0.0
Customer Support,2026-04,2,0,2,36.0,0.89,0.0,100.0
Finance,2026-04,2,0,2,42.0,0.92,0.0,100.0
HR,2026-04,0,0,0,19.0,0.96,0.0,0.0
Marketing,2026-04,2,0,2,25.0,0.82,0.0,100.0
Operations,2026-04,4,4,0,25.0,0.93,100.0,0.0
Quality,2026-04,3,2,1,21.0,0.74,66.67,33.33
Sales,2026-04,4,3,1,29.0,0.75,75.0,25.0
Technology,2026-04,4,2,2,22.0,0.83,50.0,50.0
Customer Support,2026-05,1,0,1,23.0,0.96,0.0,100.0
Finance,2026-05,0,0,0,39.0,0.75,0.0,0.0
HR,2026-05,2,2,0,38.0,0.72,100.0,0.0
Marketing,2026-05,2,0,2,40.0,0.89,0.0,100.0
Operations,2026-05,4,3,1,30.0,0.94,75.0,25.0
Quality,2026-05,3,1,2,33.0,0.9,33.33,66.67
Sales,2026-05,2,0,2,39.0,0.76,0.0,100.0
Technology,2026-05,4,2,2,32.0,0.9,50.0,50.0
Customer Support,2026-06,4,2,2,30.0,0.95,50.0,50.0
Finance,2026-06,2,2,0,19.0,0.88,100.0,0.0
HR,2026-06,2,1,1,33.0,0.77,50.0,50.0
Marketing,2026-06,1,0,1,37.0,0.9,0.0,100.0
Operations,2026-06,3,2,1,38.0,0.77,66.67,33.33
Quality,2026-06,1,0,1,19.0,0.86,0.0,100.0
Sales,2026-06,3,3,0,23.0,0.73,100.0,0.0
Technology,2026-06,3,1,2,40.0,0.89,33.33,66.67
Customer Support,2026-07,4,3,1,19.0,0.83,75.0,25.0
Finance,2026-07,0,0,0,28.0,0.79,0.0,0.0
HR,2026-07,1,0,1,36.0,0.92,0.0,100.0
Marketing,2026-07,1,0,1,21.0,0.85,0.0,100.0
Operations,2026-07,6,5,1,18.0,0.78,83.33,16.67
Quality,2026-07,2,0,2,36.0,0.88,0.0,100.0
Sales,2026-07,4,2,2,37.0,0.76,50.0,50.0
Technology,2026-07,3,2,1,18.0,0.92,66.67,33.33
Customer Support,2026-08,2,0,2,27.0,0.72,0.0,100.0
Finance,2026-08,2,1,1,37.0,0.9,50.0,50.0
HR,2026-08,0,0,0,33.0,0.78,0.0,0.0
Marketing,2026-08,2,2,0,28.0,0.85,100.0,0.0
Operations,2026-08,4,4,0,35.0,0.84,100.0,0.0
Quality,2026-08,1,1,0,39.0,0.79,100.0,0.0
Sales,2026-08,5,4,1,33.0,0.84,80.0,20.0
Technology,2026-08,4,4,0,36.0,0.93,100.0,0.0
