Manager,Employee_Months,Unique_Employees,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Average_Quality_Score,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Revenue_Per_Employee_Month
Finance Manager 3,16,2,1502,1396,2230.3,2560,90.84,42541.87,92.94,87.12,2658.87
Quality Manager 2,16,2,1771,1638,2353.2,2560,92.31,39686.28,92.49,91.92,2480.39
HR Manager 2,24,3,1932,1768,3520.2,3840,92.16,49860.76,91.51,91.67,2077.53
HR Manager 3,16,2,1275,1155,2380.8,2560,91.68,32252.75,90.59,93.0,2015.8
Quality Manager 3,23,3,2620,2367,3384.0,3680,92.0,56702.78,90.34,91.96,2465.34
Marketing Manager 1,16,2,1420,1277,2340.8,2560,92.85,71389.24,89.93,91.44,4461.83
Customer Manager 1,79,10,13100,11780,11366.8,12640,91.69,142244.68,89.92,89.93,1800.57
Quality Manager 1,24,3,2697,2425,3457.9,3840,90.62,58860.93,89.91,90.05,2452.54
Customer Manager 2,24,3,3971,3546,3405.4,3840,92.38,42455.02,89.3,88.68,1768.96
Marketing Manager 3,5,1,441,391,711.6,800,92.56,21689.51,88.66,88.95,4337.9
HR Manager 1,8,1,666,579,1158.4,1280,92.36,16402.12,86.94,90.5,2050.26
Finance Manager 2,8,1,721,625,983.2,1280,90.47,19203.98,86.69,76.81,2400.5
Customer Manager 3,29,4,4842,4191,4033.4,4640,90.31,50727.35,86.56,86.93,1749.22
Sales Manager 3,30,4,1375,1164,4114.3,4800,89.63,261306.54,84.65,85.71,8710.22
Sales Manager 2,46,6,2114,1718,6106.1,7360,89.1,385074.17,81.27,82.96,8371.18
Technology Manager 3,32,4,2773,2243,4783.5,5120,91.56,214874.81,80.89,93.43,6714.84
Technology Manager 2,33,5,2857,2288,4949.8,5280,92.16,220330.28,80.08,93.75,6676.68
Sales Manager 1,30,5,1419,1092,3904.7,4800,89.77,242279.37,76.96,81.35,8075.98
Operations Manager 3,42,6,5895,4536,5628.8,6720,90.63,82420.51,76.95,83.76,1962.39
Operations Manager 1,24,3,3302,2481,3080.5,3840,90.68,45798.6,75.14,80.22,1908.28
Operations Manager 2,53,8,7411,5494,6865.6,8480,92.31,99649.97,74.13,80.96,1880.19
Technology Manager 1,13,2,1144,845,1774.7,2080,90.72,81665.79,73.86,85.32,6281.98
