Employee_ID,Month_Label,Department,Team,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Productivity_Percentage,Capacity_Utilization_Percentage,Month,OT_Hours,OT_Productivity_Status
E0001,2026-01,Customer Support,SUP-B,158,128,122.2,160,81.01,76.38,2026-01,7.88,Normal OT
E0001,2026-02,Customer Support,SUP-B,174,131,122.8,160,75.29,76.75,2026-02,10.93,High OT - Low Productivity - Inefficiency Risk
E0001,2026-03,Customer Support,SUP-B,171,162,151.9,160,94.74,94.94,2026-03,8.22,Normal OT
E0001,2026-04,Customer Support,SUP-B,150,149,150.9,160,99.33,94.31,2026-04,8.75,Normal OT
E0001,2026-05,Customer Support,SUP-B,182,160,164.0,160,87.91,102.5,2026-05,13.03,High OT - High Productivity
E0001,2026-06,Customer Support,SUP-B,162,151,140.8,160,93.21,88.0,2026-06,6.84,Normal OT
E0001,2026-07,Customer Support,SUP-B,169,152,141.3,160,89.94,88.31,2026-07,8.92,Normal OT
E0001,2026-08,Customer Support,SUP-B,185,173,166.2,160,93.51,103.87,2026-08,8.4,Normal OT
E0002,2026-04,Customer Support,SUP-B,151,111,102.0,160,73.51,63.75,2026-04,8.05,Normal OT
E0002,2026-05,Customer Support,SUP-B,175,103,101.4,160,58.86,63.38,2026-05,0.99,Normal OT
E0002,2026-06,Customer Support,SUP-B,182,121,123.2,160,66.48,77.0,2026-06,9.96,High OT - Low Productivity - Inefficiency Risk
E0002,2026-07,Customer Support,SUP-B,184,130,128.4,160,70.65,80.25,2026-07,10.38,High OT - Low Productivity - Inefficiency Risk
E0002,2026-08,Customer Support,SUP-B,188,140,138.9,160,74.47,86.81,2026-08,11.0,High OT - Low Productivity - Inefficiency Risk
E0003,2026-01,Marketing,MKT-A,77,69,121.8,160,89.61,76.12,,0.0,Normal OT
E0003,2026-02,Marketing,MKT-A,78,73,142.1,160,93.59,88.81,,0.0,Normal OT
E0003,2026-03,Marketing,MKT-A,92,83,157.8,160,90.22,98.62,2026-03,3.67,Normal OT
E0003,2026-04,Marketing,MKT-A,90,79,136.9,160,87.78,85.56,2026-04,3.97,Normal OT
E0003,2026-05,Marketing,MKT-A,83,74,143.3,160,89.16,89.56,2026-05,4.96,Normal OT
E0003,2026-06,Marketing,MKT-A,91,83,154.4,160,91.21,96.5,2026-06,2.71,Normal OT
E0003,2026-07,Marketing,MKT-A,95,74,137.1,160,77.89,85.69,2026-07,6.97,Normal OT
E0003,2026-08,Marketing,MKT-A,94,86,163.7,160,91.49,102.31,2026-08,5.13,Normal OT
E0004,2026-01,Technology,TEC-B,76,68,137.7,160,89.47,86.06,2026-01,7.65,Normal OT
E0004,2026-02,Technology,TEC-B,80,64,144.2,160,80.0,90.12,2026-02,14.59,High OT - Low Productivity - Inefficiency Risk
E0004,2026-03,Technology,TEC-B,77,66,145.3,160,85.71,90.81,2026-03,4.64,Normal OT
E0004,2026-04,Technology,TEC-B,90,67,145.6,160,74.44,91.0,2026-04,6.59,Normal OT
E0004,2026-05,Technology,TEC-B,81,73,166.3,160,90.12,103.94,2026-05,5.27,Normal OT
E0004,2026-06,Technology,TEC-B,85,72,150.7,160,84.71,94.19,2026-06,7.79,Normal OT
E0004,2026-07,Technology,TEC-B,101,76,162.2,160,75.25,101.38,2026-07,14.58,High OT - Low Productivity - Inefficiency Risk
E0004,2026-08,Technology,TEC-B,93,66,144.6,160,70.97,90.38,2026-08,6.79,Normal OT
E0005,2026-01,HR,HR-A,79,71,146.1,160,89.87,91.31,,0.0,Normal OT
E0005,2026-02,HR,HR-A,73,67,141.1,160,91.78,88.19,,0.0,Normal OT
E0005,2026-03,HR,HR-A,75,75,159.0,160,100.0,99.38,2026-03,3.19,Normal OT
E0005,2026-04,HR,HR-A,74,72,152.5,160,97.3,95.31,2026-04,2.62,Normal OT
E0005,2026-05,HR,HR-A,75,76,161.3,160,101.33,100.81,2026-05,2.41,Normal OT
E0005,2026-06,HR,HR-A,79,67,139.8,160,84.81,87.38,,0.0,Normal OT
E0005,2026-07,HR,HR-A,79,69,143.9,160,87.34,89.94,2026-07,4.05,Normal OT
E0005,2026-08,HR,HR-A,88,80,161.0,160,90.91,100.63,,0.0,Normal OT
E0006,2026-01,HR,HR-B,82,74,150.5,160,90.24,94.06,,0.0,Normal OT
E0006,2026-02,HR,HR-B,85,77,162.3,160,90.59,101.44,,0.0,Normal OT
E0006,2026-03,HR,HR-B,79,66,132.4,160,83.54,82.75,2026-03,1.61,Normal OT
E0006,2026-04,HR,HR-B,86,66,130.4,160,76.74,81.5,2026-04,3.61,Normal OT
E0006,2026-05,HR,HR-B,80,71,141.4,160,88.75,88.38,2026-05,1.1,Normal OT
E0006,2026-06,HR,HR-B,79,70,143.8,160,88.61,89.88,2026-06,3.51,Normal OT
E0006,2026-07,HR,HR-B,82,80,161.9,160,97.56,101.19,,0.0,Normal OT
E0006,2026-08,HR,HR-B,80,74,153.4,160,92.5,95.88,,0.0,Normal OT
E0007,2026-01,Finance,FIN-B,96,93,152.2,160,96.88,95.12,,0.0,Normal OT
E0007,2026-02,Finance,FIN-B,98,98,146.4,160,100.0,91.5,,0.0,Normal OT
E0007,2026-03,Finance,FIN-B,94,90,142.8,160,95.74,89.25,2026-03,6.68,Normal OT
E0007,2026-04,Finance,FIN-B,96,90,150.3,160,93.75,93.94,2026-04,7.63,Normal OT
E0007,2026-05,Finance,FIN-B,96,88,131.0,160,91.67,81.88,2026-05,2.21,Normal OT
E0007,2026-06,Finance,FIN-B,94,84,140.6,160,89.36,87.87,2026-06,2.52,Normal OT
E0007,2026-07,Finance,FIN-B,99,87,142.2,160,87.88,88.88,2026-07,6.06,Normal OT
E0007,2026-08,Finance,FIN-B,102,84,127.7,160,82.35,79.81,2026-08,1.17,Normal OT
E0008,2026-01,Operations,OPS-B,117,109,138.6,160,93.16,86.62,2026-01,3.2,Normal OT
E0008,2026-02,Operations,OPS-B,135,113,148.0,160,83.7,92.5,2026-02,2.94,Normal OT
E0008,2026-03,Operations,OPS-B,127,104,137.3,160,81.89,85.81,2026-03,9.97,High OT - Low Productivity - Inefficiency Risk
E0008,2026-04,Operations,OPS-B,131,115,145.9,160,87.79,91.19,2026-04,6.99,Normal OT
E0009,2026-01,Technology,TEC-B,71,64,133.3,160,90.14,83.31,2026-01,4.41,Normal OT
E0009,2026-02,Technology,TEC-B,75,63,134.1,160,84.0,83.81,2026-02,2.49,Normal OT
