Employee_ID,Month_Label,Department,Team,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Productivity_Percentage,Capacity_Utilization_Percentage,Month,OT_Hours,OT_Productivity_Status
E0026,2026-07,Customer Support,SUP-C,188,138,142.0,160,73.4,88.75,2026-07,20.04,High OT - Low Productivity - Inefficiency Risk
E0062,2026-07,Customer Support,SUP-A,185,143,133.0,160,77.3,83.12,2026-07,20.02,High OT - Low Productivity - Inefficiency Risk
E0033,2026-06,Operations,OPS-A,152,113,136.5,160,74.34,85.31,2026-06,19.11,High OT - Low Productivity - Inefficiency Risk
E0033,2026-07,Operations,OPS-A,146,110,138.4,160,75.34,86.5,2026-07,18.13,High OT - Low Productivity - Inefficiency Risk
E0013,2026-07,Customer Support,SUP-C,161,140,129.6,160,86.96,81.0,2026-07,17.95,High OT - Low Productivity - Inefficiency Risk
E0024,2026-08,Operations,OPS-C,155,111,133.3,160,71.61,83.31,2026-08,17.8,High OT - Low Productivity - Inefficiency Risk
E0028,2026-05,Operations,OPS-A,143,105,133.6,160,73.43,83.5,2026-05,17.35,High OT - Low Productivity - Inefficiency Risk
E0013,2026-06,Customer Support,SUP-C,182,139,126.3,160,76.37,78.94,2026-06,17.27,High OT - Low Productivity - Inefficiency Risk
E0028,2026-07,Operations,OPS-A,143,99,116.6,160,69.23,72.88,2026-07,16.73,High OT - Low Productivity - Inefficiency Risk
E0062,2026-08,Customer Support,SUP-A,173,152,150.0,160,87.86,93.75,2026-08,16.66,High OT - Low Productivity - Inefficiency Risk
E0065,2026-07,Operations,OPS-B,160,114,148.8,160,71.25,93.0,2026-07,16.33,High OT - Low Productivity - Inefficiency Risk
E0034,2026-08,Customer Support,SUP-A,177,141,129.9,160,79.66,81.19,2026-08,16.01,High OT - Low Productivity - Inefficiency Risk
E0067,2026-06,Operations,OPS-A,153,111,139.9,160,72.55,87.44,2026-06,15.75,High OT - Low Productivity - Inefficiency Risk
E0036,2026-07,Technology,TEC-A,91,79,158.8,160,86.81,99.25,2026-07,15.7,High OT - Low Productivity - Inefficiency Risk
E0058,2026-06,Operations,OPS-B,144,105,139.2,160,72.92,87.0,2026-06,15.63,High OT - Low Productivity - Inefficiency Risk
E0039,2026-07,Customer Support,SUP-B,171,140,126.9,160,81.87,79.31,2026-07,15.42,High OT - Low Productivity - Inefficiency Risk
E0057,2026-07,Customer Support,SUP-A,186,139,142.7,160,74.73,89.19,2026-07,15.33,High OT - Low Productivity - Inefficiency Risk
E0078,2026-06,Technology,TEC-B,88,74,157.1,160,84.09,98.19,2026-06,15.32,High OT - Low Productivity - Inefficiency Risk
E0017,2026-04,Customer Support,SUP-C,178,149,138.1,160,83.71,86.31,2026-04,15.3,High OT - Low Productivity - Inefficiency Risk
E0078,2026-08,Technology,TEC-B,107,72,148.5,160,67.29,92.81,2026-08,15.13,High OT - Low Productivity - Inefficiency Risk
E0079,2026-07,Technology,TEC-A,89,66,139.7,160,74.16,87.31,2026-07,14.96,High OT - Low Productivity - Inefficiency Risk
E0072,2026-06,Operations,OPS-B,148,101,125.4,160,68.24,78.38,2026-06,14.86,High OT - Low Productivity - Inefficiency Risk
E0016,2026-08,Operations,OPS-A,142,107,126.0,160,75.35,78.75,2026-08,14.77,High OT - Low Productivity - Inefficiency Risk
E0015,2026-07,Technology,TEC-B,104,66,135.1,160,63.46,84.44,2026-07,14.64,High OT - Low Productivity - Inefficiency Risk
E0004,2026-02,Technology,TEC-B,80,64,144.2,160,80.0,90.12,2026-02,14.59,High OT - Low Productivity - Inefficiency Risk
E0004,2026-07,Technology,TEC-B,101,76,162.2,160,75.25,101.38,2026-07,14.58,High OT - Low Productivity - Inefficiency Risk
E0022,2026-08,Operations,OPS-B,152,108,127.7,160,71.05,79.81,2026-08,14.52,High OT - Low Productivity - Inefficiency Risk
E0027,2026-07,Operations,OPS-B,161,101,122.7,160,62.73,76.69,2026-07,13.92,High OT - Low Productivity - Inefficiency Risk
