Team,Month_Label,Headcount,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Productivity_Percentage,Capacity_Utilization_Percentage,Monthly_Productivity_Change
FIN-A,2026-01,2,178,155,240.1,320,87.08,75.03,
FIN-A,2026-02,2,188,143,234.8,320,76.06,73.38,-11.02
FIN-A,2026-03,2,174,165,258.8,320,94.83,80.88,18.77
FIN-A,2026-04,2,185,160,245.4,320,86.49,76.69,-8.34
FIN-A,2026-05,2,189,173,274.8,320,91.53,85.88,5.04
FIN-A,2026-06,2,175,165,257.2,320,94.29,80.38,2.76
FIN-A,2026-07,2,172,166,268.7,320,96.51,83.97,2.22
FIN-A,2026-08,2,187,180,300.5,320,96.26,93.91,-0.25
FIN-B,2026-01,1,96,93,152.2,160,96.88,95.12,
FIN-B,2026-02,1,98,98,146.4,160,100.0,91.5,3.12
FIN-B,2026-03,1,94,90,142.8,160,95.74,89.25,-4.26
FIN-B,2026-04,1,96,90,150.3,160,93.75,93.94,-1.99
FIN-B,2026-05,1,96,88,131.0,160,91.67,81.88,-2.08
FIN-B,2026-06,1,94,84,140.6,160,89.36,87.87,-2.31
FIN-B,2026-07,1,99,87,142.2,160,87.88,88.88,-1.48
FIN-B,2026-08,1,102,84,127.7,160,82.35,79.81,-5.53
HR-A,2026-01,3,228,213,431.2,480,93.42,89.83,
HR-A,2026-02,3,240,213,428.1,480,88.75,89.19,-4.67
HR-A,2026-03,3,226,227,453.9,480,100.44,94.56,11.69
HR-A,2026-04,3,225,213,438.9,480,94.67,91.44,-5.77
HR-A,2026-05,3,241,235,467.90000000000003,480,97.51,97.48,2.84
HR-A,2026-06,3,248,205,413.8,480,82.66,86.21,-14.85
HR-A,2026-07,3,256,223,455.4,480,87.11,94.88,4.45
HR-A,2026-08,3,256,234,473.7,480,91.41,98.69,4.3
HR-B,2026-01,3,237,221,441.8,480,93.25,92.04,
HR-B,2026-02,3,242,221,452.20000000000005,480,91.32,94.21,-1.93
HR-B,2026-03,3,238,207,416.3,480,86.97,86.73,-4.35
HR-B,2026-04,3,250,206,404.0,480,82.4,84.17,-4.57
HR-B,2026-05,3,234,210,420.8,480,89.74,87.67,7.34
HR-B,2026-06,3,238,223,452.4,480,93.7,94.25,3.96
HR-B,2026-07,3,264,237,479.20000000000005,480,89.77,99.83,-3.93
HR-B,2026-08,3,250,214,429.8,480,85.6,89.54,-4.17
MKT-A,2026-01,3,243,214,382.9,480,88.07,79.77,
MKT-A,2026-02,3,249,226,413.4,480,90.76,86.12,2.69
MKT-A,2026-03,3,261,243,458.1,480,93.1,95.44,2.34
MKT-A,2026-04,3,273,242,427.2,480,88.64,89.0,-4.46
MKT-A,2026-05,3,266,251,459.5,480,94.36,95.73,5.72
MKT-A,2026-06,2,186,168,310.70000000000005,320,90.32,97.09,-4.04
MKT-A,2026-07,2,192,161,302.4,320,83.85,94.5,-6.47
MKT-A,2026-08,2,191,163,298.2,320,85.34,93.19,1.49
OPS-A,2026-01,3,366,354,441.29999999999995,480,96.72,91.94,
OPS-A,2026-02,3,406,343,438.7,480,84.48,91.4,-12.24
OPS-A,2026-03,4,546,419,517.5,640,76.74,80.86,-7.74
OPS-A,2026-04,5,685,510,645.8,800,74.45,80.72,-2.29
OPS-A,2026-05,5,704,485,609.9,800,68.89,76.24,-5.56
OPS-A,2026-06,5,755,516,637.9,800,68.34,79.74,-0.55
OPS-A,2026-07,5,760,515,637.7,800,67.76,79.71,-0.58
OPS-A,2026-08,5,768,516,643.0,800,67.19,80.38,-0.57
OPS-B,2026-01,7,852,760,926.0,1120,89.2,82.68,
OPS-B,2026-02,7,866,758,938.5,1120,87.53,83.79,-1.67
OPS-B,2026-03,8,1078,861,1077.1000000000001,1280,79.87,84.15,-7.66
OPS-B,2026-04,8,1070,864,1067.6,1280,80.75,83.41,0.88
OPS-B,2026-05,7,955,719,900.2,1120,75.29,80.38,-5.46
OPS-B,2026-06,7,1021,707,873.8,1120,69.25,78.02,-6.04
OPS-B,2026-07,8,1238,795,988.0,1280,64.22,77.19,-5.03
OPS-B,2026-08,8,1204,759,938.1,1280,63.04,73.29,-1.18
OPS-C,2026-01,3,384,342,431.5,480,89.06,89.9,
OPS-C,2026-02,3,403,338,430.4,480,83.87,89.67,-5.19
OPS-C,2026-03,3,393,343,421.6,480,87.28,87.83,3.41
OPS-C,2026-04,3,400,326,414.9,480,81.5,86.44,-5.78
OPS-C,2026-05,3,413,333,420.40000000000003,480,80.63,87.58,-0.87
OPS-C,2026-06,3,456,306,379.7,480,67.11,79.1,-13.52
OPS-C,2026-07,3,427,322,402.0,480,75.41,83.75,8.3
OPS-C,2026-08,3,458,320,393.3,480,69.87,81.94,-5.54
QUA-A,2026-01,2,225,207,303.2,320,92.0,94.75,
QUA-A,2026-02,2,215,188,262.5,320,87.44,82.03,-4.56
QUA-A,2026-03,2,216,204,291.5,320,94.44,91.09,7.0
QUA-A,2026-04,2,210,192,272.4,320,91.43,85.12,-3.01
QUA-A,2026-05,2,222,207,289.1,320,93.24,90.34,1.81
QUA-A,2026-06,2,235,211,303.1,320,89.79,94.72,-3.45
QUA-A,2026-07,2,246,206,288.5,320,83.74,90.16,-6.05
QUA-A,2026-08,2,236,218,305.6,320,92.37,95.5,8.63
QUA-B,2026-01,6,616,581,833.3,960,94.32,86.8,
QUA-B,2026-02,6,651,603,868.1,960,92.63,90.43,-1.69
QUA-B,2026-03,6,649,591,866.3,960,91.06,90.24,-1.57
QUA-B,2026-04,6,687,618,882.5,960,89.96,91.93,-1.1
QUA-B,2026-05,6,707,646,917.6,960,91.37,95.58,1.41
QUA-B,2026-06,6,692,615,873.5,960,88.87,90.99,-2.5
QUA-B,2026-07,6,691,621,889.3,960,89.87,92.64,1.0
QUA-B,2026-08,5,590,522,748.6,800,88.47,93.58,-1.4
SAL-A,2026-01,7,297,268,962.5,1120,90.24,85.94,
SAL-A,2026-02,7,304,286,1018.7,1120,94.08,90.96,3.84
SAL-A,2026-03,7,310,286,1019.4,1120,92.26,91.02,-1.82
SAL-A,2026-04,7,323,279,992.0,1120,86.38,88.57,-5.88
SAL-A,2026-05,7,328,267,952.1,1120,81.4,85.01,-4.98
SAL-A,2026-06,8,378,297,1034.4,1280,78.57,80.81,-2.83
SAL-A,2026-07,8,391,279,1002.0,1280,71.36,78.28,-7.21
SAL-A,2026-08,6,304,212,743.2,960,69.74,77.42,-1.62
SAL-B,2026-01,2,79,75,269.5,320,94.94,84.22,
SAL-B,2026-02,2,91,79,272.4,320,86.81,85.12,-8.13
SAL-B,2026-03,2,89,76,285.5,320,85.39,89.22,-1.42
SAL-B,2026-04,2,92,78,269.79999999999995,320,84.78,84.31,-0.61
SAL-B,2026-05,3,143,102,377.9,480,71.33,78.73,-13.45
SAL-B,2026-06,3,141,102,359.3,480,72.34,74.85,1.01
SAL-B,2026-07,3,147,99,343.6,480,67.35,71.58,-4.99
SAL-B,2026-08,3,152,107,386.5,480,70.39,80.52,3.04
SAL-C,2026-01,3,120,112,393.4,480,93.33,81.96,
SAL-C,2026-02,3,128,117,404.3,480,91.41,84.23,-1.92
SAL-C,2026-03,4,181,150,538.9,640,82.87,84.2,-8.54
SAL-C,2026-04,4,178,145,498.2,640,81.46,77.84,-1.41
SAL-C,2026-05,4,185,147,529.0,640,79.46,82.66,-2.0
SAL-C,2026-06,4,204,150,543.9,640,73.53,84.98,-5.93
SAL-C,2026-07,4,195,152,539.6,640,77.95,84.31,4.42
SAL-C,2026-08,3,148,109,389.0,480,73.65,81.04,-4.3
SUP-A,2026-01,4,612,594,556.6,640,97.06,86.97,
SUP-A,2026-02,4,615,595,564.9,640,96.75,88.27,-0.31
SUP-A,2026-03,4,642,560,549.5,640,87.23,85.86,-9.52
SUP-A,2026-04,4,639,603,584.3,640,94.37,91.3,7.14
SUP-A,2026-05,4,678,591,564.0,640,87.17,88.12,-7.2
SUP-A,2026-06,4,640,586,560.7,640,91.56,87.61,4.39
SUP-A,2026-07,4,740,611,605.4,640,82.57,94.59,-8.99
SUP-A,2026-08,4,712,630,603.4,640,88.48,94.28,5.91
SUP-B,2026-01,5,779,681,656.4,800,87.42,82.05,
SUP-B,2026-02,5,807,689,664.2,800,85.38,83.02,-2.04
SUP-B,2026-03,5,822,775,745.1,800,94.28,93.14,8.9
SUP-B,2026-04,6,927,842,807.1,960,90.83,84.07,-3.45
SUP-B,2026-05,6,1012,853,840.9,960,84.29,87.59,-6.54
SUP-B,2026-06,6,1025,881,838.0,960,85.95,87.29,1.66
SUP-B,2026-07,6,1035,898,867.6,960,86.76,90.38,0.81
SUP-B,2026-08,5,915,804,773.3,800,87.87,96.66,1.11
SUP-C,2026-01,7,1129,991,958.1,1120,87.78,85.54,
SUP-C,2026-02,7,1121,1025,973.8,1120,91.44,86.95,3.66
SUP-C,2026-03,7,1149,1052,1020.6,1120,91.56,91.12,0.12
SUP-C,2026-04,7,1144,1041,995.7,1120,91.0,88.9,-0.56
SUP-C,2026-05,7,1185,1045,1010.7,1120,88.19,90.24,-2.81
SUP-C,2026-06,7,1170,1058,1024.9,1120,90.43,91.51,2.24
SUP-C,2026-07,7,1186,1053,1028.1,1120,88.79,91.79,-1.64
SUP-C,2026-08,7,1229,1059,1012.3,1120,86.17,90.38,-2.62
TEC-A,2026-01,2,148,142,289.4,320,95.95,90.44,
TEC-A,2026-02,2,150,138,298.4,320,92.0,93.25,-3.95
TEC-A,2026-03,2,147,136,296.0,320,92.52,92.5,0.52
TEC-A,2026-04,2,167,145,300.4,320,86.83,93.88,-5.69
TEC-A,2026-05,2,175,132,274.79999999999995,320,75.43,85.87,-11.4
TEC-A,2026-06,2,193,155,329.5,320,80.31,102.97,4.88
TEC-A,2026-07,2,180,145,298.5,320,80.56,93.28,0.25
TEC-A,2026-08,2,209,139,297.0,320,66.51,92.81,-14.05
TEC-B,2026-01,7,498,460,970.7,1120,92.37,86.67,
TEC-B,2026-02,7,539,476,1032.5,1120,88.31,92.19,-4.06
TEC-B,2026-03,7,557,472,1037.7,1120,84.74,92.65,-3.57
TEC-B,2026-04,8,663,528,1125.9,1280,79.64,87.96,-5.1
TEC-B,2026-05,8,707,554,1203.7,1280,78.36,94.04,-1.28
TEC-B,2026-06,8,734,569,1214.6,1280,77.52,94.89,-0.84
TEC-B,2026-07,8,797,566,1207.3,1280,71.02,94.32,-6.5
TEC-B,2026-08,9,910,619,1331.6,1440,68.02,92.47,-3.0
